Input File,Species,BIC,Kernel,Mean
simulations61,Species 2,526.2313013717844,RationalQuadratic,Zero
simulations61,Species 3,381.0867985538229,RationalQuadratic,Zero
simulations19,Species 1,294.7521248001848,RationalQuadratic,Zero
simulations19,Species 2,802.6726538091167,RationalQuadratic,Zero
simulations19,Species 3,632.7469884688812,RationalQuadratic,Zero
simulations8,Species 1,183.74235102498156,RationalQuadratic,Zero
simulations8,Species 2,383.2742218757196,RationalQuadratic,Zero
simulations8,Species 3,996.9640284201796,RationalQuadratic,Zero
simulations34,Species 1,884.9394169850017,RationalQuadratic,Zero
simulations34,Species 2,713.3229982908168,Matern52,Zero
simulations34,Species 3,256.8841499235945,RationalQuadratic,Zero
simulations38,Species 1,232.78853252028674,RationalQuadratic,Zero
simulations38,Species 2,228.80527810282982,RationalQuadratic,Zero
simulations38,Species 3,695.2544909084284,Matern32,Zero
simulations82,Species 1,619.1718190393002,RationalQuadratic,Zero
simulations82,Species 2,350.40564709000586,RationalQuadratic,Zero
simulations82,Species 3,77.80127673042755,RationalQuadratic,Zero
simulations30,Species 1,176.1560266488145,RationalQuadratic,Zero
simulations30,Species 2,242.16776042354175,RationalQuadratic,Zero
simulations30,Species 3,346.6778569335482,RationalQuadratic,Zero
simulations14,Species 1,424.15305479060174,RationalQuadratic,Zero
simulations14,Species 2,601.5876301671896,RationalQuadratic,Zero
simulations14,Species 3,361.6511417888111,RationalQuadratic,Zero
simulations94,Species 1,835.3220036178935,RationalQuadratic,Zero
simulations94,Species 2,1058.7597849649833,RationalQuadratic,Zero
simulations94,Species 3,201.3665106576028,RationalQuadratic,Zero
simulations27,Species 1,374.5813146840113,RationalQuadratic,Zero
simulations27,Species 2,272.58229928609006,RationalQuadratic,Zero
simulations27,Species 3,294.78753283458974,RationalQuadratic,Zero
simulations17,Species 1,140.6643600078822,RationalQuadratic,Zero
simulations17,Species 2,396.7464575665135,RationalQuadratic,Zero
simulations17,Species 3,582.4664184335612,RationalQuadratic,Zero
simulations28,Species 1,161.61115467463142,RationalQuadratic,Zero
simulations28,Species 2,254.70143919405766,RationalQuadratic,Zero
simulations28,Species 3,794.4718258377511,RationalQuadratic,Zero
simulations44,Species 1,199.45980028044855,RationalQuadratic,Zero
simulations44,Species 2,288.60447162141844,RationalQuadratic,Zero
simulations44,Species 3,391.38669053770644,RationalQuadratic,Zero
